City,LAT,LON,Weather,Desription,Temp,Temp Feels,Temp Min,Temp Max,Pressure,Humidity,Visibility,Clouds,Wind Speed,country
Rosarito,32.3333,-117.0333,Clear,clear sky,290.49,290.06,290.15,291.15,1020,68,10000,1,2.54,MX
Hammerfest,70.6634,23.6821,Snow,snow,270.15,265.09,270.15,270.15,1006,93,3000,75,4.12,NO
Mahbūbābād,17.6167,80.0167,Clouds,broken clouds,308.98,309.82,308.98,308.98,1011,33,10000,70,3.65,IN
Krasnyy Yar,46.5331,48.3456,Clear,clear sky,284.98,283.73,284.82,285.15,1022,58,10000,0,7.0,RU
Nowy Dwór Gdański,54.2131,19.1177,Clear,clear sky,278.15,275.59,276.48,279.82,1008,65,10000,0,3.09,PL
Elko,41.0002,-115.5012,Clear,clear sky,285.21,283.2,283.15,287.15,1026,28,10000,1,2.06,US
Saskylakh,71.9167,114.0833,Clouds,overcast clouds,274.12,269.73,274.12,274.12,1013,87,10000,94,4.52,RU
Dongsheng,39.8161,109.9776,Clear,clear sky,284.02,281.61,284.02,284.02,1008,17,10000,7,12.48,CN
Eureka,40.8021,-124.1637,Clouds,broken clouds,283.53,282.82,283.15,283.71,1025,84,10000,75,2.28,US
Klaksvík,62.2266,-6.589,Clouds,few clouds,276.15,272.48,276.15,276.15,1023,70,10000,20,4.12,FO
Dalhousie,32.5333,75.9833,Clouds,scattered clouds,297.78,296.79,297.78,297.78,1012,19,10000,44,1.93,IN
Poso,-1.3959,120.7524,Clouds,broken clouds,303.38,307.3,303.38,303.38,1010,64,10000,59,2.75,ID
Lupiro,-8.3833,36.6667,Clouds,scattered clouds,295.03,295.78,295.03,295.03,1015,96,10000,39,0.31,TZ
Itarema,-2.9248,-39.9167,Clouds,overcast clouds,297.77,298.59,297.77,297.77,1010,88,10000,100,3.07,BR
Pisco,-13.7,-76.2167,Clouds,few clouds,290.25,290.31,290.15,290.37,1015,88,5000,23,0.53,PE
Muli,2.9167,73.5667,Clouds,overcast clouds,301.83,304.23,301.83,301.83,1013,64,10000,95,2.59,MV
Port Macquarie,-31.4333,152.9167,Clouds,few clouds,295.36,295.33,294.82,295.93,1020,65,10000,16,0.89,AU
Tasiilaq,65.6145,-37.6368,Fog,fog,272.15,270.19,272.15,272.15,1027,100,450,90,1.54,GL
Kokoda,-8.8785,147.7407,Rain,light rain,298.33,299.31,298.33,298.33,1011,92,10000,100,0.42,PG
Brae,60.3964,-1.353,Clouds,broken clouds,276.15,271.43,276.15,276.15,1015,87,10000,75,6.17,GB
Riohacha,11.5444,-72.9072,Clouds,overcast clouds,298.28,298.99,298.28,298.28,1012,82,10000,97,3.04,CO
Atambua,-9.1061,124.8925,Clouds,few clouds,301.28,302.46,301.28,301.28,1010,57,10000,17,1.61,ID
Shingū,33.7333,135.9833,Rain,moderate rain,290.15,290.36,290.15,290.15,1006,94,3000,75,6.69,JP
Mount Gambier,-37.8333,140.7667,Clouds,broken clouds,294.15,293.98,294.15,294.15,1022,64,10000,75,3.09,AU
Murfreesboro,35.8456,-86.3903,Clouds,broken clouds,291.55,292.06,290.93,292.15,1014,100,10000,75,3.17,US
Zhangjiakou,40.81,114.8794,Clouds,broken clouds,284.98,282.61,284.98,284.98,1003,15,10000,58,11.42,CN
Labuhan,-6.8844,112.2051,Clouds,scattered clouds,303.5,307.33,303.5,303.5,1010,63,10000,49,1.94,ID
Maniitsoq,65.4167,-52.9,Clouds,overcast clouds,274.75,274.75,274.75,274.75,1030,81,10000,100,0.65,GL
Nurota,40.5614,65.6886,Clear,clear sky,301.15,300.08,301.15,301.15,1011,26,10000,5,4.12,UZ
Bubaque,11.2833,-15.8333,Clouds,broken clouds,298.34,298.72,298.34,298.34,1008,69,10000,66,7.37,GW
Calama,-22.4667,-68.9333,Clear,clear sky,279.15,275.45,279.15,279.15,1029,28,10000,0,5.66,CL
Winchester,51.0651,-1.3187,Clouds,overcast clouds,275.81,272.06,275.37,276.15,1009,87,10000,90,4.12,GB
Mahajanga,-15.7167,46.3167,Clouds,few clouds,298.15,298.74,298.15,298.15,1012,78,10000,20,2.57,MG
Yerbogachën,61.2767,108.0108,Clouds,few clouds,276.29,273.22,276.29,276.29,1020,48,10000,24,3.26,RU
Tiksi,71.6872,128.8694,Clouds,few clouds,272.86,269.31,272.86,272.86,1020,84,10000,16,2.99,RU
Port Lincoln,-34.7333,135.8667,Clear,clear sky,295.09,294.44,295.09,295.09,1021,42,10000,7,2.68,AU
Pacific Grove,36.6177,-121.9166,Clear,clear sky,285.78,285.4,284.82,288.15,1022,88,10000,3,0.75,US
Orzhytsya,49.7918,32.7012,Clouds,few clouds,280.87,278.37,280.87,280.87,1021,62,10000,11,3.96,UA
Santa Rosa,14.3122,121.1114,Clouds,scattered clouds,305.73,310.03,305.37,306.15,1011,55,10000,40,3.09,PH
Kozhva,65.1073,57.0459,Clouds,overcast clouds,273.74,270.21,273.74,273.74,1006,69,10000,100,3.17,RU
Alofi,-19.0595,-169.9187,Rain,light rain,301.15,306.72,301.15,301.15,1011,89,10000,82,2.06,NU
George Town,5.4112,100.3354,Clouds,few clouds,305.03,313.21,304.82,305.15,1011,70,9000,20,2.57,MY
Severodvinsk,64.5635,39.8302,Clouds,scattered clouds,274.15,271.86,274.15,274.15,1009,64,10000,40,2.0,RU
Hervey Bay,-25.2986,152.8535,Clouds,broken clouds,297.04,297.23,297.04,297.04,1016,67,10000,79,2.24,AU
Wamba,8.9333,8.6,Clouds,overcast clouds,297.5,298.03,297.5,297.5,1009,78,10000,97,1.51,NG
Nuuk,64.1835,-51.7216,Snow,light snow,272.09,268.8,272.04,272.15,1029,93,100,90,2.57,GL
Mount Isa,-20.7333,139.5,Clear,clear sky,304.15,302.16,304.15,304.15,1014,18,10000,1,2.57,AU
Bara,10.3744,10.7288,Clouds,overcast clouds,298.26,298.39,298.26,298.26,1008,60,10000,99,2.37,NG
Avera,33.194,-82.5271,Clear,clear sky,291.59,291.42,291.15,292.15,1018,74,10000,1,2.57,US
Gweta,-20.1833,25.2333,Clouds,broken clouds,292.81,292.5,292.81,292.81,1015,64,10000,63,3.82,BW
Saint Anthony,45.0205,-93.218,Clear,clear sky,281.69,281.69,280.15,283.15,1013,71,10000,1,0.78,US
Beringovskiy,63.05,179.3167,Clear,clear sky,271.96,271.96,271.96,271.96,1022,75,10000,0,0.66,RU
Hong Kong,22.2855,114.1577,Clouds,scattered clouds,297.81,298.03,293.71,299.82,1014,65,10000,40,0.45,HK
Warman,52.3168,-106.5679,Clouds,scattered clouds,278.34,274.9,278.15,278.71,1016,45,10000,40,4.63,CA
Zhicheng,30.2956,111.5047,Clouds,few clouds,303.71,303.26,303.71,303.71,1001,38,10000,17,4.28,CN
Tucuruí,-3.7661,-49.6725,Clouds,broken clouds,296.11,296.94,296.11,296.11,1011,95,10000,82,1.21,BR
Carnarvon,-24.8667,113.6333,Clear,clear sky,300.15,301.6,300.15,300.15,1015,65,10000,1,4.63,AU
Tenosique,17.4833,-91.4333,Clouds,scattered clouds,301.53,302.58,301.53,301.53,1009,55,10000,30,6.23,MX
Härnösand,62.6323,17.9379,Clouds,overcast clouds,271.75,268.99,270.15,273.71,1014,93,10000,94,2.06,SE
Beira,-19.8436,34.8389,Fog,fog,296.04,296.84,295.93,296.15,1015,94,400,90,1.08,MZ
Péplos,40.9583,26.2656,Clear,clear sky,283.15,282.76,283.15,283.15,1012,87,10000,0,1.54,GR
Vila,42.0304,-8.1588,Clouds,scattered clouds,280.37,280.37,280.37,280.37,1009,89,10000,47,0.89,PT
Kisangani,0.5167,25.2,Clouds,overcast clouds,295.21,296.06,295.21,295.21,1011,99,10000,100,0.77,CD
Cabedelo,-6.9811,-34.8339,Clouds,broken clouds,297.15,298.06,297.15,297.15,1012,94,10000,75,1.03,BR
Superior,46.7208,-92.1041,Clear,clear sky,277.96,276.83,276.48,279.15,1014,81,10000,1,1.54,US
Serebryanyy Bor,56.8,124.8,Snow,light snow,272.74,269.86,272.74,272.74,1012,96,874,100,2.3,RU
Saint-Joseph,-21.3667,55.6167,Rain,light rain,299.69,299.69,299.26,300.15,1017,74,10000,0,8.75,RE
Ust-Kuyga,70.0167,135.6,Clouds,scattered clouds,271.23,267.6,271.23,271.23,1023,85,10000,44,2.74,RU
Ayagoz,47.9714,80.4392,Clouds,few clouds,298.25,297.36,298.25,298.25,1012,21,10000,16,5.51,KZ
Viranşehir,37.2353,39.7631,Clear,clear sky,298.26,297.61,298.26,298.26,1014,30,10000,1,3.21,TR
Naze,28.3667,129.4833,Rain,moderate rain,292.15,292.56,292.15,292.15,1009,94,5000,75,6.17,JP
Talnakh,69.4865,88.3972,Snow,light snow,273.98,270.83,273.98,273.98,1007,99,37,100,2.79,RU
Ilulissat,69.2167,-51.1,Clouds,few clouds,271.15,269.05,271.15,271.15,1031,93,10000,20,1.54,GL
Lockhart,28.6194,-81.4426,Clear,clear sky,294.04,294.35,292.59,295.37,1019,83,10000,1,3.09,US
Uppsala County,60.0,17.75,Clouds,few clouds,273.84,273.84,272.15,274.82,1014,86,10000,20,0.7,SE
Caraz,-9.0486,-77.81,Clouds,overcast clouds,288.65,288.45,288.65,288.65,1020,84,10000,96,0.62,PE
Zhigansk,66.7697,123.3711,Clouds,broken clouds,273.3,271.27,273.3,273.3,1022,98,3687,52,1.7,RU
Usinsk,65.9939,57.5281,Clouds,overcast clouds,272.23,267.6,272.23,272.23,1006,69,10000,95,4.2,RU
Cedar City,37.6775,-113.0619,Clear,clear sky,282.34,279.88,282.15,282.59,1025,40,10000,1,4.63,US
Solaro,44.8799,9.1732,Clouds,overcast clouds,284.65,284.39,283.15,285.93,1009,97,10000,98,0.75,IT
Belle Fourche,44.6714,-103.8522,Clear,clear sky,282.12,280.46,280.15,283.71,1020,53,10000,1,2.94,US
Los Llanos de Aridane,28.6585,-17.9182,Clear,clear sky,291.15,290.65,291.15,291.15,1012,63,10000,0,1.54,ES
Yar-Sale,66.8333,70.8333,Clouds,overcast clouds,266.52,261.5,266.52,266.52,1008,90,10000,87,3.17,RU
Gizo Government Station,-8.103,156.8419,Rain,light rain,301.6,304.56,301.6,301.6,1008,69,10000,90,2.66,SB
Dhidhdhoo,6.8833,73.1,Clouds,few clouds,302.17,306.11,302.17,302.17,1012,71,10000,13,2.14,MV
Rawson,-43.3002,-65.1023,Clouds,broken clouds,290.68,290.06,290.68,290.68,1012,60,10000,54,3.18,AR
Teguise,29.0605,-13.564,Clear,clear sky,290.15,290.05,290.15,290.15,1013,82,10000,0,3.6,ES
Vila Franca do Campo,37.7167,-25.4333,Clouds,broken clouds,287.15,286.36,287.15,287.15,1020,67,10000,75,1.54,PT
Takoradze,4.8845,-1.7554,Clouds,overcast clouds,299.71,299.71,299.71,299.71,1009,85,10000,100,2.61,GH
Kalmunai,7.4167,81.8167,Clouds,overcast clouds,303.49,307.31,303.49,303.49,1012,63,10000,86,2.07,LK
Longyearbyen,78.2186,15.6401,Clouds,broken clouds,266.15,257.62,266.15,266.15,1010,63,10000,75,8.23,SJ
Kalmar,56.6616,16.3616,Clouds,broken clouds,275.54,273.41,275.15,275.93,1010,100,6000,78,2.06,SE
Victoria Point,-27.5833,153.3,Clouds,overcast clouds,294.92,295.29,294.26,295.93,1019,82,10000,100,2.68,AU
Nam Som,17.7704,102.1895,Clouds,overcast clouds,299.36,299.36,298.15,300.37,1014,89,8000,90,1.03,TH
Nabire,-3.3667,135.4833,Clouds,few clouds,304.14,307.97,304.14,304.14,1008,60,10000,22,3.0,ID
Harper,4.375,-7.7169,Clouds,overcast clouds,299.48,299.48,299.48,299.48,1010,84,10000,88,2.41,LR
Voyvozh,62.892,54.9635,Clouds,overcast clouds,275.22,272.12,275.22,275.22,1006,71,10000,100,3.02,RU
Constitución,-35.3333,-72.4167,Clear,clear sky,287.32,286.52,287.32,287.32,1015,66,10000,0,2.35,CL
Praxédis Guerrero,31.3667,-106.0167,Clear,clear sky,287.12,285.38,286.48,288.15,1018,31,10000,1,3.6,MX
Mackay,-21.15,149.2,Clear,clear sky,296.83,297.06,294.82,298.15,1016,69,10000,7,7.72,AU
Richards Bay,-28.783,32.0377,Clear,clear sky,292.52,292.91,292.52,292.52,1014,92,10000,6,3.8,ZA
Barbastro,42.0356,0.1269,Fog,fog,284.83,284.66,284.15,286.15,1007,100,6000,90,0.77,ES
Aksay,47.26,39.87,Clouds,few clouds,281.76,278.63,281.48,282.15,1021,81,10000,20,6.0,RU
Yenagoa,4.9247,6.2642,Clouds,overcast clouds,297.56,298.25,297.56,297.56,1009,84,10000,100,0.41,NG
Umm Kaddadah,13.6017,26.6876,Clouds,broken clouds,300.83,299.54,300.83,300.83,1009,13,10000,75,6.92,SD
Mandurah,-32.55,115.7,Clouds,overcast clouds,297.59,298.1,297.59,297.59,1012,77,10000,99,7.02,AU
Meulaboh,4.1363,96.1285,Clouds,overcast clouds,302.71,306.71,302.71,302.71,1011,68,10000,90,2.36,ID
Luanda,-8.8368,13.2343,Clouds,broken clouds,299.15,299.15,299.15,299.15,1007,89,9000,75,1.03,AO
Adré,13.4667,22.2,Clouds,broken clouds,298.73,297.63,298.73,298.73,1010,11,10000,73,4.88,TD
Cururupu,-1.8283,-44.8683,Clouds,overcast clouds,296.24,297.03,296.24,296.24,1010,93,10000,100,0.73,BR
Mandera,3.9366,41.867,Clouds,scattered clouds,301.6,303.55,301.6,301.6,1012,62,10000,46,4.13,KE
Kez,57.8979,53.7152,Clouds,overcast clouds,277.83,274.24,277.83,277.83,1012,77,10000,97,4.7,RU
São João da Barra,-21.6403,-41.0511,Clouds,overcast clouds,295.56,295.87,295.56,295.56,1017,77,10000,93,3.01,BR
Tura,25.5198,90.2201,Clouds,scattered clouds,309.83,308.15,309.83,309.83,1011,20,10000,43,2.56,IN
Paraíso,9.8383,-83.8656,Fog,fog,292.26,292.84,291.48,293.15,1018,100,8000,40,1.54,CR
Jardim,-21.4803,-56.1381,Clear,clear sky,287.49,286.36,287.49,287.49,1018,53,10000,10,1.85,BR
Angoche,-16.2325,39.9086,Rain,light rain,299.17,299.17,299.17,299.17,1014,85,10000,31,1.71,MZ
Zaozyornoye,45.1582,33.2787,Clouds,overcast clouds,284.26,283.05,284.26,284.26,1014,62,10000,100,7.48,UA
Birin,26.8865,88.0718,Clear,clear sky,300.78,299.62,300.78,300.78,1013,19,10000,1,3.45,NP
Alberton,46.8168,-64.0654,Clouds,scattered clouds,276.15,273.62,276.15,276.15,1010,93,10000,45,2.57,CA
Ajdabiya,30.7554,20.2263,Clear,clear sky,298.11,296.95,298.11,298.11,1014,11,10000,4,4.76,LY
Pedernales,18.0384,-71.744,Clouds,few clouds,298.07,298.47,298.07,298.07,1015,71,10000,17,0.99,DO
Joshīmath,30.5667,79.5667,Clouds,few clouds,295.32,294.64,295.32,295.32,1021,40,10000,16,2.54,IN
Yandyki,45.7691,47.1258,Clouds,overcast clouds,286.08,285.13,286.08,286.08,1022,65,10000,94,5.3,RU
Uvalde,29.3669,-99.767,Clouds,scattered clouds,295.05,295.91,294.26,295.93,1006,100,10000,40,2.06,US
Careiro da Várzea,-3.2003,-59.8119,Rain,light rain,297.67,298.63,297.15,298.15,1012,94,10000,75,1.03,BR
Aksu,41.1231,80.2644,Clear,clear sky,299.15,299.15,299.15,299.15,1013,9,10000,0,0.61,CN
Fort Payne,34.4442,-85.7197,Clear,clear sky,293.48,293.58,292.59,295.15,1016,77,10000,1,1.88,US
Moundou,8.5667,16.0833,Clouds,overcast clouds,298.16,298.54,298.16,298.16,1009,70,10000,97,1.13,TD
Kudat,6.8837,116.8477,Clouds,scattered clouds,303.15,310.54,303.15,303.15,1011,79,10000,40,2.57,MY
Aklavik,68.2191,-135.0107,Clouds,few clouds,275.62,272.17,275.15,276.15,1014,55,10000,23,3.6,CA
Hasaki,35.7333,140.8333,Rain,moderate rain,289.77,290.1,289.15,290.37,1009,100,1500,75,3.6,JP
Hualmay,-11.0964,-77.6139,Clear,clear sky,292.0,292.24,292.0,292.0,1014,88,10000,10,3.85,PE
Arrah,25.5667,84.6667,Haze,haze,303.15,303.89,303.15,303.15,1009,48,4000,3,5.14,IN
Vila Velha,-20.3297,-40.2925,Clouds,broken clouds,296.15,296.67,296.15,296.15,1016,83,10000,75,2.06,BR
Santa María del Oro,25.9333,-105.3667,Clear,clear sky,286.67,285.51,286.67,286.67,1013,55,10000,1,2.37,MX
Quatre Cocos,-20.2078,57.7625,Rain,moderate rain,298.62,299.55,298.15,299.15,1018,89,10000,75,6.17,MU
Charters Towers,-20.1,146.2667,Clear,clear sky,300.18,299.94,300.18,300.18,1014,38,10000,7,4.58,AU
Somerset East,-32.7217,25.588,Rain,light rain,286.74,286.58,286.74,286.74,1016,93,10000,100,2.64,ZA
Alyangula,-13.8483,136.4192,Clouds,broken clouds,305.15,310.84,305.15,305.15,1011,62,10000,75,5.66,AU
Khatanga,71.9667,102.5,Clouds,overcast clouds,274.34,270.51,274.34,274.34,1007,98,10000,100,3.73,RU
Ponferrada,42.5466,-6.5962,Clouds,scattered clouds,277.13,274.69,274.26,279.26,1011,99,10000,33,2.68,ES
Smithers,54.7804,-127.1743,Rain,light rain,281.15,280.47,281.15,281.15,1015,93,10000,90,1.54,CA
Gangtok,27.3333,88.6167,Clouds,scattered clouds,296.3,295.58,296.3,296.3,1017,35,10000,32,2.53,IN
Fukuechō,32.6881,128.8419,Clouds,broken clouds,293.15,293.11,293.15,293.15,1008,73,10000,75,3.6,JP
Ferme-Neuve,46.7001,-75.4493,Clouds,overcast clouds,280.15,279.33,280.15,280.15,1012,93,10000,98,1.54,CA
Batticaloa,7.7102,81.6924,Clouds,overcast clouds,303.0,306.93,303.0,303.0,1012,66,10000,93,2.93,LK
Praia da Vitória,38.7333,-27.0667,Clouds,broken clouds,286.86,286.74,286.48,287.15,1021,94,10000,75,3.76,PT
Exu,-7.5119,-39.7242,Clouds,scattered clouds,298.15,298.74,298.15,298.15,1015,78,10000,40,1.12,BR
Great Bend,38.3645,-98.7648,Clouds,scattered clouds,285.09,284.61,283.71,285.93,1016,87,10000,40,3.09,US
Garoowe,8.4054,48.4845,Clouds,broken clouds,299.37,299.37,299.37,299.37,1013,69,10000,68,3.29,SO
Belyy Yar,53.6039,91.3903,Clear,clear sky,286.15,284.58,286.15,286.15,1018,41,10000,0,3.0,RU
Léo,11.1,-2.1,Clouds,broken clouds,300.08,301.5,300.08,300.08,1008,65,10000,80,3.46,BF
Yangi Marg`ilon,40.4272,71.7189,Clear,clear sky,302.15,300.53,302.15,302.15,1013,16,10000,0,1.03,UZ
Yazoo City,32.8551,-90.4056,Clear,clear sky,296.05,296.3,295.93,296.15,1015,73,10000,1,4.63,US
Baracoa,20.3467,-74.4958,Clouds,scattered clouds,297.46,298.17,297.46,297.46,1016,85,10000,43,4.63,CU
Calabozo,8.9242,-67.4293,Clouds,overcast clouds,297.31,298.05,297.31,297.31,1011,87,10000,100,2.07,VE
Bafoulabé,13.8065,-10.8321,Clouds,broken clouds,306.81,304.68,306.81,306.81,1005,19,10000,58,4.05,ML
Drayton Valley,53.2168,-114.9854,Clouds,overcast clouds,278.15,276.32,278.15,278.15,997,67,10000,100,2.2,CA
Cabo San Lucas,22.8909,-109.9124,Clouds,few clouds,293.34,293.22,293.15,293.71,1014,69,10000,18,2.24,MX
Maun,-19.9833,23.4167,Clear,clear sky,288.15,288.32,288.15,288.15,1017,100,10000,0,1.92,BW
Moose Jaw,50.4001,-105.5344,Clouds,broken clouds,278.15,275.99,278.15,278.15,1019,52,10000,57,2.57,CA
Matara,5.9485,80.5353,Clouds,broken clouds,303.66,307.68,303.66,303.66,1012,63,10000,81,3.8,LK
Esperance,-33.8667,121.9,Clouds,overcast clouds,303.15,301.28,303.15,303.15,1012,13,10000,98,10.29,AU
Ol'ga,43.7444,135.2892,Clouds,few clouds,286.91,285.07,286.91,286.91,1011,28,10000,11,3.64,RU
Jiayuguan City,39.8167,98.3,Clear,clear sky,297.09,295.67,297.09,297.09,1010,5,10000,6,12.74,CN
Vao,-22.6667,167.4833,Clouds,broken clouds,296.5,296.46,296.5,296.5,1016,60,10000,71,7.75,NC
Rawlins,41.7911,-107.2387,Clear,clear sky,277.87,274.6,277.15,278.71,1023,48,10000,1,4.12,US
Maridi,4.9158,29.4742,Rain,moderate rain,293.81,294.41,293.81,293.81,1011,95,6215,100,0.61,SS
Acajutla,13.5928,-89.8275,Clouds,overcast clouds,300.28,302.23,300.28,300.28,1013,70,10000,100,1.22,SV
Oytal,42.9057,73.2697,Clear,clear sky,300.17,299.47,300.17,300.17,1012,27,10000,0,1.86,KZ
Moyale,3.5167,39.0584,Clouds,scattered clouds,295.4,295.59,295.4,295.4,1013,73,10000,36,3.71,KE
Boden,65.8252,21.6886,Clear,clear sky,271.15,268.29,271.15,271.15,1012,80,10000,0,2.06,SE
Talaya,61.3833,152.75,Clouds,broken clouds,273.21,271.64,273.21,273.21,1022,89,10000,52,1.39,RU
San Jose,37.3394,-121.895,Clouds,few clouds,289.72,288.32,288.71,292.15,1022,34,10000,20,4.63,US
Seoul,37.5683,126.9778,Clear,clear sky,290.51,289.24,289.15,291.15,1005,36,10000,0,4.12,KR
Otradnoye,59.7775,30.8181,Clear,clear sky,277.08,275.27,276.48,277.59,1015,60,10000,0,2.0,RU
Sioux Lookout,50.1001,-91.917,Clouds,broken clouds,281.15,280.47,281.15,281.15,1009,53,10000,75,1.54,CA
Cidreira,-30.1811,-50.2056,Clouds,few clouds,289.96,289.92,289.96,289.96,1022,85,10000,14,2.68,BR
Uyovu,-3.2833,31.5258,Clouds,overcast clouds,291.34,291.62,291.34,291.34,1014,92,10000,99,0.41,TZ
Posse,-14.0931,-46.3694,Clouds,broken clouds,293.68,293.96,293.68,293.68,1013,83,10000,67,1.05,BR
São Filipe,14.8961,-24.4956,Clouds,broken clouds,295.53,295.86,295.53,295.53,1012,78,10000,60,3.78,CV
Forsytheganj,52.6333,29.7333,Clouds,scattered clouds,278.75,276.01,278.75,278.75,1019,66,10000,35,3.55,BY
Yuncheng,35.0231,110.9928,Clouds,scattered clouds,300.32,299.29,300.32,300.32,1006,18,10000,43,8.93,CN
Sittwe,20.15,92.9,Clear,clear sky,303.64,308.12,303.64,303.64,1011,65,10000,6,3.81,MM
Dawei,14.0833,98.2,Clouds,overcast clouds,304.1,308.92,304.1,304.1,1011,64,10000,86,1.56,MM
Hecun,36.5333,114.1111,Clouds,few clouds,297.44,296.26,297.44,297.44,1002,13,10000,15,10.18,CN
Āmli,20.2833,73.0167,Clouds,scattered clouds,309.64,309.32,309.64,309.64,1011,27,10000,47,1.11,IN
Puri,19.8,85.85,Haze,haze,306.15,311.96,306.15,306.15,1011,58,5000,40,4.12,IN
Semikarakorsk,47.5194,40.8112,Clouds,few clouds,282.15,279.12,282.15,282.15,1021,81,10000,20,6.0,RU
San Patricio,28.017,-97.5169,Clouds,overcast clouds,298.16,299.01,297.59,298.71,1007,88,10000,90,8.75,US
Skjervøy,70.0311,20.9714,Snow,light snow,272.15,266.34,272.15,272.15,1009,80,6000,90,6.17,NO
Nizhniy Kuranakh,58.8353,125.4869,Snow,light snow,272.69,267.86,272.69,272.69,1017,94,312,100,4.66,RU
Prince Rupert,54.3161,-130.3201,Rain,moderate rain,282.15,278.9,282.15,282.15,1013,93,4828,90,6.69,CA
Ustupo,9.1333,-77.9333,Clouds,overcast clouds,298.51,299.27,298.51,298.51,1013,83,10000,100,2.34,PA
